,items
0,Hqn 200mg Tablet
1,Hqn 3% Cream
2,Hqn-FT Cream
3,Hqra 200 Tablet
4,Hqra 300mg Tablet
5,Hqra 400mg Tablet
6,Hqtor 400 Tablet
7,Hqtor Tablet
8,Hqwin 200mg Tablet
