,items
0,DK 50 Tablet
1,DK Fam 50 mg/20 mg Tablet
2,DK Gel
3,DK Gel Dusting Powder
4,DK Gel-XL Gel
5,DKS 50mg/10mg Tablet
6,Dkof DX Syrup
7,Dkof Syrup
8,Dkoff Syrup
9,Dkoff-DMR Syrup Cranberry
