,items
0,Ihd 10mg Tablet
1,Ihd 20mg Tablet
2,Ihd 30mg Tablet SR
3,Ihd 40mg Tablet
4,Ihd 60mg Tablet SR
5,Ihd OD 60mg Tablet SR
6,Ihi 100mg Injection
