,items
0,DD 100 Injection
1,DD 50 Injection
2,DD Eye Drop
3,DD Gel
4,DD Norm Sachet
5,DD3 60K Soft Gelatin Capsule
6,DDR 30 Capsule MR
7,DDR 60 Capsule MR
8,Ddl 20mg Tablet
9,Ddl 30mg Tablet
10,Ddline 100mg Injection
11,Ddline 50mg Injection
12,Ddlon 25mg Injection
13,Ddlon 50mg Injection
14,Ddn 25mg Injection
15,Ddn 50mg Injection
16,Ddox 50 Dry Syrup
