,items
0,Iycotic 200mg Tablet
1,Iycotic Cream
2,Iycotic Lotion
3,Iycotic Shampoo
4,Iycotic Soap
5,Iycotizol Capsule
6,Iyflox D Eye Drop
7,Iyflox Eye Drop
8,Iyflox Eye Drop
9,Iygat P Eye Drop
10,Iypat Eye Drop
11,Iysetra Eye Drop
12,Iysetra Life Eye Drop
13,Iysetra Life Eye Drop
14,Iystin 12.5mg Suspension
15,Iystin 12.5mg Suspension
16,Iystin DS 12.5mg Suspension
17,Iytear Eye Drop
